#11,Microlene  Water Filter Tap Adaptor WSL,EA,13.44,16.80
#12,Microlene  Water Filter Tap Adaptor for Greens/Dorf/Amercian Standard Chrome,EA,50.88,63.60
#17,Microlene  Water Filter Tap Adaptor M/F for Dishwasher Plastic 3/4",EA,84.48,105.60
#1BRASS,Microlene  Water Filter Tap Adaptor Brass,EA,21.12,26.40
#2,Microlene  Water Filter Tap Adaptor WSL,EA,16.13,20.16
#4CP,Microlene  Water Filter Tap Adaptor Chrome,EA,21.12,26.40
0003V,Mamoli  Head Valve 1/2",EA,58.02,72.52
0004V,Mamoli  Cartridge White,EA,147.36,184.20
00060-004100,Netafim  Valve Box Round Lilac 150mm,EA,21.61,27.01
0019A,Mamoli  Diverter Assembly for Epoca Bath Mixer,EA,103.15,128.94
0019V,Mamoli  Cartridge for Rally/Vip/Ego/Roby/Quark,EA,154.73,193.41
0019Z,Mamoli  Assembly for Cross Q4266/Q2566 (Per Pair),PR,113.47,141.84
0021S,Mamoli  Cartridge for Pico New Style,EA,206.30,257.87
0023,Tutti Fruitti Disinfectant 5L,EA,40.46,46.24
0023V,Mamoli  Headworks Ceramic for E4441 (Pair),PR,154.73,193.41
0092541,Sika Sikaplug Motar Quickset Waterstop 5kg,EA,62.66,85.84
01017,Award Luca Shower Caddy Corner White,EA,22.60,28.25
01027,Presto  Cartridge for Exposed Urinal Flushing Valve,EA,171.00,213.75
01039,Presto  Long Lever Head for Lever Tap,EA,306.01,382.51
0108000006,Clearlite Pacific Drop In Bath 1655mm,EA,292.57,325.08
0110000006,Clearlite Pacific Drop In Bath 1525mm,EA,292.57,325.08
01159,Presto  Headworks for 704/705,EA,133.22,166.53
012142,Rheem Lazer Silicon Gasket,EA,7.97,9.96
015310,Garden Hose Repair Joiner Brass 13mm,EA,16.77,20.96
01997B,HCD  Camlock Pin 19mm,EA,0.82,1.30
019LEVER,Nato  Camlock Lever Stainless Steel WSL 19mm,EA,6.10,9.67
022468,Bostik Adhesive Tuff As Nails Original 375ml,EA,10.14,16.62
03-9104M,Methven Arrow Basin Mixer Chrome,EA,177.01,236.01
03-9159M,Methven Arrow Shower Mixer Chrome,EA,177.01,236.01
03-9203M,Methven Arrow Divertor Mixer Chrome,EA,205.44,273.92
03-9210BATH,Methven Arrow Bath Mixer Wall Mounted Complete Chrome,EACH,265.17,331.46
03-9210W,Methven Arrow Basin Mixer Wall Mounted Chrome,EA,233.88,311.84
03-9258M,Methven Arrow Kitchen Mixer Chrome,EA,212.55,283.40
030/304CF600,Superquip Safety Unirail Straight Spiral Grip Chrome 32x600mm,EA,122.99,136.66
030/304CF750X750,Superquip Safety Unirail Spiral Grip Chrome 32x750mmx750mm,EA,283.45,314.94
0345,Caroma  Ballcock Washer 4 Pack 11mm,EA,9.20,11.50
0346,Mamoli Performa Shower Rail Soap Dish Chrome,EA,41.78,52.23
040015L,Bugatti  Ball Valve Lockable Female WSL 15mm,EA,52.90,83.90
040020L,Bugatti  Ball Valve Lockable Female WSL 20mm,EA,46.89,74.37
040020USH,Bugatti  Gas Ball Valve M/F Swivel WSL 20mm,EA,46.85,74.30
040025L,Bugatti  Ball Valve Lockable Female 25mm,EA,96.45,152.97
053045,Rheem Integrity Flue Damper Heavy Duty,EA,615.98,879.97
06,Silfra Tek  Bath Pop Up Waste with Overflow Chrome,EA,107.22,119.13
06+50,Silfra Tek  Bath Pop Up Waste with Overflow +50,EA,108.78,120.87
063.81,Duravit Starck 3 Accessible Toilet Seat,EA,252.79,280.88
063.89,Duravit Starck 3 Toilet Seat Soft Close,EA,224.61,249.57
064.20,Duravit Duraplus Toilet Seat,EA,330.26,366.96
065200,Clearlite  Shower Tray Square Centre Waste 900mm,EA,375.65,417.39
065400,Clearlite  Shower Tray Angle Centre Waste 900mm,EA,375.65,417.39
065600,Clearlite  Shower Tray Square Centre Waste 1000mm,EA,406.95,452.17
065800,Clearlite  Shower Tray Angle Centre Waste 1000mm,EA,406.95,452.17
0672-31-GM,Fire Hose Nozzle Brass with Lever 13mm,EA,19.00,32.63
069.89,Duravit  Toilet Seat Soft Close Stark 2/Darling/Happy D,EA,218.35,242.61
06L,Silfra Tek  Bath Pop Up Waste with Overflow Chrome 1000mm,EA,136.17,151.30
071416,Rheem  Thermocouple for Mains Gas and Stellar 610mm,EA,78.45,112.07
071428,Rheem  Thermocouple for Stellar 130L and 160L 450mm,EA,51.04,72.91
0721002106,Clearlite  Wall Square Flat 900mm,EA,261.23,290.26
0740,Plumbers  Filter Washer Stainless Steel 2 Pack 20mm,EA,9.82,12.27
0765002106,Clearlite Pacific Bath Wall 2 Sided Moulded 1525x1530mm,EA,491.48,546.09
077/304/800PL,Superquip Shower Seat Slatted Folding White 800mm,EA,533.39,592.65
077/304/900PL,Superquip Shower Seat Slatted Folding White 900mm,EA,605.07,672.30
079401,Rheem  Gas Control Valve AC3 NG,EA,437.08,624.40
079500,Rheem  Gas Control Valve 220/240v  AC,EA,359.89,719.78
0887182,Watts  Repair Kit for Reduced Pressure Zone Valve 20/25mm,EA,176.59,263.57
0887297,Watts  Repair Kit for Reduced Pressure Zone Valve 15mm,EA,144.27,215.33
